,title,subtitle,link
0,ETIHAD JACKPOT,Man City poised for outrageous £300M prize money if they win historic Treble,https://www.thesun.co.uk/sport/22319219/man-city-treble-prize-premier-champions-league/
1,JOSE TO PS-FLEE?,Mourinho breaks silence on PSG job and doesn't rule out replacing Galtier,https://www.thesun.co.uk/sport/22319839/jose-mourinho-psg-roma-galtier/
2,ALL-STARS,Madrid ‘targeting double swoop for Bellingham & Mbappe to form new Galacticos’,https://www.thesun.co.uk/sport/22318981/real-madrid-transfer-swoop-jude-bellingham-kylian-mbappe-galacticos/
3,BLUES JACKPOT,"Chelsea may scoop over £10m for ace who left two YEARS ago, thanks to Arsenal",https://www.thesun.co.uk/sport/22319972/chelsea-arsenal-transfer-bonus/
4,GAME ON!,Best online casino games May 2023 - Play casino games at these top casinos,https://www.thesun.co.uk/betting/21238373/casino-games/
5,'VILE',Abbey Clancy disgusted with X-rated text Peter Crouch sends her to 'get lucky',https://www.thesun.co.uk/sport/22312168/peter-crouch-abbey-clancy-x-rated-text/
6,SAU ABOUT THAT,Spurs star 'offered shock Saudi Arabia transfer on TREBLE his current wages',https://www.thesun.co.uk/sport/22318718/tottenham-saudi-arabia-transfer-ronaldo-messi/
7,TRIPP TO REMEMBER,Pochettino chucked Trippier in Spurs' ‘FAT CLUB’ after his trip to Cancun,https://www.thesun.co.uk/sport/22315282/trippier-pochettino-tottenham-fat-club/
8,NO CALF MEASURES,Fans love how BT Sport zoom in on Grealish's calves during interview,https://www.thesun.co.uk/sport/22310059/fans-man-city-jack-grealish-calves-bt-sport/
9,ROLEX,Win an incredible Rolex or £12k cash alternative from just 89p,https://www.thesun.co.uk/sport/betting-tips/18922011/win-rolex-7dp/
10,JOAO WOW,Fans say Felix's Wag 'should be illegal' as she strips down to bikini on beach,https://www.thesun.co.uk/sport/22312689/joao-felix-magui-corceiro-chelsea-wag-bikini-beach/
11,ROYAL RUMBLE,Former Premier League star looks unrecognisable without iconic curly hair,https://www.thesun.co.uk/sport/22314838/stephen-hunt-unrecognisable-reading-hair/
12,JACK KNIFED,Grealish interview drowned out as Man City fans aim X-rated chant at Ferdinand,https://www.thesun.co.uk/sport/22314537/ferdinand-chant-man-city-fans-grealish-interview/
13,NOTTS KIDDING,Reynolds and McElhenney 'jetting to UK to support Wrexham's rival at Wembley',https://www.thesun.co.uk/sport/22314679/wrexham-ryan-reynolds-rob-mcelhenney-wembley/
14,'SHODDY',Viewers beg BT Sport to be stripped of Champions League coverage after Milan derby,https://www.thesun.co.uk/sport/22319750/bt-sport-champions-league-coverage-fan-fury/
15,TOP DEAL,Get money back up to £40 if your first bet loses PLUS £10 casino bonus with Unibet,https://www.thesun.co.uk/sport/22176588/money-back-first-bet-casino-bonus-unibet-offer/
16,TOP £20,Free bets: Get £20 welcome bonus with Tote racing sign-up special offer,https://www.thesun.co.uk/sport/21647140/tote-free-bets-sign-up-bonus-offer/
17,BIG DEAL,Champions League: Claim £30 in free football accas when you bet £10 with Ladbrokes,https://www.thesun.co.uk/sport/betting-tips/19780272/ladbrokes-football-free-bets/
18,BERNA-BYE BYE,Erling Haaland’s dad escorted out of Bernabeu VIP box by security,https://www.thesun.co.uk/sport/22306053/erling-haaland-real-madrid-dad-fans-security-removed/
19,MAUR TRICKY,Pochettino's Chelsea move 'could scupper' Arsenal & Liverpool moves for target,https://www.thesun.co.uk/sport/22317827/arsenal-liverpool-transfer-mauricio-pochettino-chelsea/
20,DY HARDER,"West Ham star Bowen reveals why Danny Dyer, dad of partner Dani, is 'on my case'",https://www.thesun.co.uk/sport/22317028/jarrod-bowen-dani-dyer-danny-west-ham/
21,JACK THE RIPPER,Fans think pundit let rip in Grealish interview after farting noise heard,https://www.thesun.co.uk/sport/22307012/fans-man-city-pundit-jack-grealish-farting/
22,COMP,Win a Ford Transit or £30k cash from just 89p with our special discount code,https://www.thesun.co.uk/sport/betting-tips/18918779/win-car-competition-7dp/
23,BONUS,All the best no deposit bonuses available for casino punters,https://www.thesun.co.uk/betting/21007381/best-no-deposit-casino-bonuses/
24,FREE SPINS,Get up to 100 free spins and 100% matched deposit bonus with Duelz Casino,https://www.thesun.co.uk/betting/21848309/matched-deposit-bonus-duelz-casino/
25,FREE SPINS,Free spins bonuses for UK players in 2023: Get the best free spin offers,https://www.thesun.co.uk/betting/22174907/free-spins-bonuses/
26,BRAVO ROMEO,Romeo Beckham wins trophy at Brentford but David & Cruz miss it for other game,https://www.thesun.co.uk/sport/22306385/romeo-beckham-brentford-david-cruz-champions-league/
27,CARR CRASH TV,Richards red-faced as Carra exposes his minimal Man City vs Madrid homework,https://www.thesun.co.uk/sport/22303999/micah-richards-real-madrid-man-city-notes-jamie-carragher/
28,MADE HIS MARC,Meet Rashford's cousin who's got promoted twice & is an international star,https://www.thesun.co.uk/sport/22313707/marcus-rashford-cousin-maynard-promoted-country/
29,RED FACED,We travelled 300M to watch Man Utd…but were turned away because of a mistake,https://www.thesun.co.uk/sport/22314566/travelled-300-miles-man-utd-turned-away/
30,AGAINST THE LAUR,Laura Woods admits she'd be 'gutted' if fav Arsenal player left in summer,https://www.thesun.co.uk/sport/22313175/laura-woods-gutted-arsenal-player-summer-transfer/
31,WAG THE FINGER,Stunning footie Wag risks wardrobe malfunction and Insta ban for bikini pic,https://www.thesun.co.uk/sport/22308120/jessica-goicoechea-wardrobe-malfunction-instagram-risky-pic/
32,DOUBLE TROUBLE,Man Utd 'plan to pair Kane with Benfica's Ramos in £200m-plus transfer raid',https://www.thesun.co.uk/sport/22306944/man-utd-kane-benfica-ramos/
33,SHEIKH UP,Man Utd legends 'will be offered jobs if Sheikh Jassim completes takeover',https://www.thesun.co.uk/sport/22313497/man-utd-neville-scholes-jobs-sheikh-jassim-takeover/
34,BIG SAM'S BLAST,Ex-Palace star reveals Allardyce's brutal X-rated rant in first meeting,https://www.thesun.co.uk/sport/22318021/crystal-palace-damien-delaney-sam-allardyce-xrated-rant/
35,BREACH FOR THE STARS,Who is Jules Breach and what football team does she support?,https://www.thesun.co.uk/sport/21954416/who-is-jules-breach-what-football-team-does-support/
36,SPECIAL ONES,How PSG may look under Mourinho with Maguire alongside Man Utd & Chelsea flops,https://www.thesun.co.uk/sport/22314778/psg-line-up-jose-mourinho-harry-maguire-transfers/
37,SKY'S THE LIMIT,Napoli fan comes up with AMAZING way to celebrate title above jubilant city,https://www.thesun.co.uk/sport/22303715/napoli-fan-flightradar-celebrate-title/
38,CLOCK DROP,Shock team revealed as worst time-wasters with Newcastle NOT biggest offenders,https://www.thesun.co.uk/sport/22293924/premier-league-worst-time-wasters-newcastle/
39,SOU CLAIMS,Richard Keys claims Graeme Souness was ‘SACKED’ by Sky for ‘clumsy comment’,https://www.thesun.co.uk/sport/22303255/souness-sacked-sky-clumsy-comment-claims-richard-keys/
40,SUITS YOU,Diallo has 'FA Cup final suit reserved' as fans ask 'Who will Ten Hag bench?',https://www.thesun.co.uk/sport/22313846/man-utd-amad-diallo-fa-cup-final-suit/
41,SUB-PAR,Guardiola SLAMMED for Fergie-style tactical decision... but Arsenal fans love it,https://www.thesun.co.uk/sport/22305323/pep-guardiola-man-city-tactics-no-subs-alex-ferguson/
42,GUNNER REGRET IT,Merson reveals huge mistake Arteta made that all-but handed Man City title,https://www.thesun.co.uk/sport/22318592/arsenal-paul-merson-title-mistake-mikel-arteta/
43,CITY PICKER,Haaland's amazing 'points system' to decide next club revealed and why City won,https://www.thesun.co.uk/sport/22300105/erling-haaland-man-city-real-madrid-transfer-rankings/
44,ON THE MOU-VE,How Granit Xhaka's wife could help Arsenal land Leverkusen star Moussa Diaby,https://www.thesun.co.uk/sport/22317482/granit-xhaka-wife-arsenal-bayer-leverkusen-moussa-diaby-transfer/
45,FAN FIGHT SHOCK,Shocking moment Arsenal fan takes brutal beating in home end at Newcastle,https://www.thesun.co.uk/sport/22288061/arsenal-fan-newcastle-brutal-beating/
46,READY TO RETURN,Solskjaer reveals former player will '100% be Man Utd manager one day',https://www.thesun.co.uk/sport/22313968/solskjaer-carrick-man-utd-manager/
47,FERGOT ABOUT HIM,Forgotten Utd keeper signed by Fergie 'set for Prem return with Liverpool',https://www.thesun.co.uk/sport/22312702/ron-robert-zieler-man-utd-liverpool-transfer/
48,MAG-NIFICENT,Inside Newcastle's transfer plans as star forwards join Prem trio on wishlist,https://www.thesun.co.uk/sport/22288659/newcastle-transfer-plans-williams-szoboszlai-mount/
49,YAN THE MAN,Three EFL clubs watching former Liverpool ace after stunning season in Scotland,https://www.thesun.co.uk/sport/22305892/ex-liverpool-star-dhanda-three-efl-clubs/
50,BAUM RUSH,Brighton set to pip Man Utd and Euro rivals to £26m Bundesliga star Baumgartner,https://www.thesun.co.uk/sport/22297859/brighton-beat-man-utd-baumgartner/
51,I WANT MAUR,Pochettino's Chelsea appointment could stop star from leaving due to 'bromance',https://www.thesun.co.uk/sport/22306871/chelsea-mauricio-pochettino-ngolo-kante-transfer-new-contract/
52,GET KIM IN,Man Utd 'in advanced talks to sign Kim Min-jae' in £52m transfer,https://www.thesun.co.uk/sport/22309619/man-utd-transfer-kim-advanced-talks-napoli/
53,UNITED LATEST,"Sir Jim Ratcliffe preferred bidder, United 'plan to pair Kane with Ramos'",https://www.thesun.co.uk/sport/22225256/man-utd-transfer-news-live-takeover-updates-sheikh-jassim-jim-ratcliffe/
54,ARSENAL LIVE,"Saka contract, Gunners 'confident' of landing Rice, Xhaka exit latest",https://www.thesun.co.uk/sport/22225429/arsenal-transfer-news-live-updates-declan-rice-moises-caicedo/
55,TRANSFER NEWS LIVE,"Messi's father dismisses Saudi rumours, Busquets exit, Kante contract",https://www.thesun.co.uk/sport/22225576/transfer-news-live-updates-lionel-messi-cristiano-ronaldo-harry-kane-jude-bellingham/
56,RY 'N DRY,Bale agent reveals brutal reason he turned down Wrexham after Ryan Reynolds’ plea,https://www.thesun.co.uk/sport/22318884/gareth-bale-wrexham-ryan-reynolds/
57,WAT ON EARTH?,Watford announce former Bayern Munich star as new manager,https://www.thesun.co.uk/sport/22319012/watford-bayern-munich-valerien-ismael/
58,I’M DUN,Former EFL boss quits his job ONE HOUR after being named Manager of the Season,https://www.thesun.co.uk/sport/22316091/former-efl-gary-bowyer-leaves-dundee/
59,'AM I SAFE?',Watch Phil Foden invite worried icon Del Piero on to the pitch for warm-down,https://www.thesun.co.uk/sport/22316381/phil-foden-invite-del-piero-warm-down-man-city/
60,SAINTED LOVE,Fans find why Barca badge has St George cross and reason they wear red & blue,https://www.thesun.co.uk/sport/22318196/barcelona-st-george-badge-reason/
61,DAVE KIDD,Fact this is a season of progress at Man Utd shows the shambles since Fergie left,https://www.thesun.co.uk/sport/22291401/man-utd-dave-kidd-ten-hag-season-progress/
62,HARRY REDKNAPP,"Allardyce, Warnock & Hodgson are back.. I'd love another crack as boss",https://www.thesun.co.uk/sport/22277416/allardyce-warnock-hodgson-harry-redknapp/
63,KARREN BRADY,Raise a glass to Celtic boss Postecoglou.. he can make an impact in England,https://www.thesun.co.uk/sport/22267639/ange-postecoglou-england-impact-karren-brady-column/
64,'HOTTEST EVER',Alli’s stunning Wag Cindy Kimberly sizzles on beach in tiny white bikini,https://www.thesun.co.uk/sport/22284424/dele-alli-wag-cindy-kimberly-hot-bikini/
65,MAGIC WAND,Wanda Nara leaves husband Mauro Icardi drooling with steamy shower pic,https://www.thesun.co.uk/sport/22274016/wanda-nara-towel-shower-icardi/
66,MELLOW YELLOW,Madelene Wright sends fans into meltdown posing in barely-there yellow bikini,https://www.thesun.co.uk/sport/22267049/madelene-wright-fans-meltdown-bikini/
